"customer_id","rental_count","customer_rank"
148,"46","1"
526,"45","2"
144,"42","3"
236,"42","3"
75,"41","5"
469,"40","6"
197,"40","6"
137,"39","8"
178,"39","8"
468,"39","8"
459,"38","11"
5,"38","11"
295,"38","11"
410,"38","11"
366,"37","15"
257,"37","15"
198,"37","15"
176,"37","15"
29,"36","19"
267,"36","19"
354,"36","19"
439,"36","19"
380,"36","19"
348,"36","19"
21,"35","25"
204,"35","25"
403,"35","25"
91,"35","25"
368,"35","25"
50,"35","25"
381,"35","25"
273,"35","25"
274,"35","25"
506,"35","25"
371,"35","25"
373,"35","25"
196,"35","25"
66,"34","38"
241,"34","38"
129,"34","38"
576,"34","38"
207,"34","38"
566,"34","38"
168,"34","38"
502,"34","38"
473,"34","38"
138,"34","38"
30,"34","38"
239,"34","38"
26,"34","38"
147,"34","38"
360,"34","38"
119,"34","38"
46,"34","38"
211,"34","38"
181,"34","38"
372,"34","38"
38,"34","38"
462,"33","59"
451,"33","59"
390,"33","59"
314,"33","59"
522,"33","59"
102,"33","59"
533,"33","59"
51,"33","59"
7,"33","59"
230,"33","59"
64,"33","59"
438,"33","59"
297,"33","59"
454,"33","59"
86,"33","59"
84,"33","59"
114,"33","59"
237,"33","59"
172,"33","59"
362,"32","78"
209,"32","78"
245,"32","78"
406,"32","78"
158,"32","78"
125,"32","78"
28,"32","78"
120,"32","78"
535,"32","78"
306,"32","78"
242,"32","78"
452,"32","78"
569,"32","78"
35,"32","78"
550,"32","78"
520,"32","78"
346,"32","78"
1,"32","78"
128,"32","78"
503,"32","78"
254,"32","78"
89,"32","78"
244,"32","78"
122,"32","78"
15,"32","78"
470,"32","78"
405,"32","78"
141,"32","78"
329,"32","78"
442,"32","78"
532,"32","78"
259,"32","78"
342,"32","78"
277,"32","78"
167,"32","78"
494,"31","113"
214,"31","113"
251,"31","113"
393,"31","113"
279,"31","113"
479,"31","113"
293,"31","113"
210,"31","113"
323,"31","113"
416,"31","113"
78,"31","113"
513,"31","113"
361,"31","113"
300,"31","113"
157,"31","113"
103,"31","113"
340,"31","113"
446,"31","113"
309,"31","113"
186,"31","113"
27,"31","113"
260,"31","113"
56,"30","135"
87,"30","135"
339,"30","135"
107,"30","135"
112,"30","135"
484,"30","135"
444,"30","135"
472,"30","135"
560,"30","135"
347,"30","135"
289,"30","135"
307,"30","135"
334,"30","135"
418,"30","135"
72,"30","135"
131,"30","135"
404,"30","135"
135,"30","135"
161,"30","135"
584,"30","135"
42,"30","135"
436,"30","135"
299,"30","135"
115,"30","135"
269,"30","135"
108,"30","135"
408,"30","135"
23,"30","135"
256,"30","135"
296,"30","135"
154,"30","135"
499,"30","135"
275,"30","135"
336,"30","135"
388,"30","135"
53,"30","135"
391,"30","135"
71,"30","135"
356,"30","135"
80,"30","135"
424,"30","135"
319,"30","135"
595,"30","135"
20,"30","135"
363,"29","179"
575,"29","179"
447,"29","179"
485,"29","179"
302,"29","179"
179,"29","179"
54,"29","179"
268,"29","179"
482,"29","179"
39,"29","179"
563,"29","179"
287,"29","179"
113,"29","179"
573,"29","179"
565,"29","179"
349,"29","179"
52,"29","179"
263,"29","179"
265,"29","179"
467,"29","179"
146,"29","179"
397,"29","179"
538,"29","179"
592,"29","179"
386,"29","179"
173,"29","179"
253,"29","179"
337,"29","179"
32,"29","179"
25,"29","179"
163,"29","179"
448,"29","179"
529,"29","179"
481,"29","179"
588,"29","179"
316,"29","179"
6,"28","215"
187,"28","215"
57,"28","215"
266,"28","215"
400,"28","215"
596,"28","215"
166,"28","215"
145,"28","215"
559,"28","215"
276,"28","215"
589,"28","215"
457,"28","215"
90,"28","215"
558,"28","215"
290,"28","215"
284,"28","215"
317,"28","215"
126,"28","215"
374,"28","215"
12,"28","215"
332,"28","215"
92,"28","215"
500,"28","215"
461,"28","215"
283,"28","215"
14,"28","215"
497,"28","215"
441,"28","215"
132,"28","215"
322,"28","215"
262,"28","215"
504,"28","215"
376,"28","215"
338,"28","215"
77,"28","215"
515,"28","215"
574,"28","215"
213,"28","215"
221,"28","215"
16,"28","215"
49,"28","215"
59,"27","256"
594,"27","256"
40,"27","256"
407,"27","256"
331,"27","256"
116,"27","256"
58,"27","256"
200,"27","256"
36,"27","256"
96,"27","256"
426,"27","256"
220,"27","256"
282,"27","256"
491,"27","256"
228,"27","256"
190,"27","256"
292,"27","256"
434,"27","256"
45,"27","256"
396,"27","256"
139,"27","256"
579,"27","256"
13,"27","256"
206,"27","256"
151,"27","256"
2,"27","256"
160,"27","256"
498,"27","256"
421,"27","256"
471,"27","256"
383,"27","256"
591,"27","256"
133,"27","256"
580,"27","256"
286,"27","256"
577,"27","256"
581,"27","256"
333,"27","256"
561,"27","256"
74,"27","256"
280,"27","256"
231,"26","297"
512,"26","297"
487,"26","297"
170,"26","297"
142,"26","297"
450,"26","297"
121,"26","297"
109,"26","297"
149,"26","297"
327,"26","297"
31,"26","297"
445,"26","297"
377,"26","297"
105,"26","297"
303,"26","297"
182,"26","297"
387,"26","297"
240,"26","297"
171,"26","297"
298,"26","297"
304,"26","297"
294,"26","297"
278,"26","297"
385,"26","297"
111,"26","297"
551,"26","297"
261,"26","297"
312,"26","297"
423,"26","297"
516,"26","297"
593,"26","297"
225,"26","297"
411,"26","297"
425,"26","297"
495,"26","297"
44,"26","297"
234,"26","297"
587,"26","297"
474,"26","297"
510,"26","297"
422,"26","297"
202,"26","297"
215,"26","297"
357,"26","297"
486,"26","297"
208,"26","297"
82,"26","297"
518,"26","297"
3,"26","297"
219,"26","297"
285,"26","297"
389,"26","297"
570,"26","297"
562,"25","350"
463,"25","350"
41,"25","350"
572,"25","350"
419,"25","350"
507,"25","350"
24,"25","350"
264,"25","350"
270,"25","350"
435,"25","350"
384,"25","350"
433,"25","350"
69,"25","350"
188,"25","350"
229,"25","350"
456,"25","350"
531,"25","350"
528,"25","350"
546,"25","350"
537,"25","350"
343,"25","350"
155,"25","350"
199,"25","350"
193,"25","350"
369,"25","350"
597,"25","350"
359,"25","350"
517,"25","350"
414,"25","350"
582,"25","350"
330,"25","350"
10,"25","350"
201,"25","350"
60,"25","350"
305,"25","350"
98,"25","350"
235,"25","350"
590,"25","350"
508,"25","350"
536,"25","350"
232,"25","350"
83,"25","350"
63,"25","350"
417,"25","350"
460,"25","350"
156,"25","350"
326,"25","350"
308,"25","350"
150,"25","350"
324,"25","350"
455,"24","400"
11,"24","400"
351,"24","400"
101,"24","400"
130,"24","400"
104,"24","400"
557,"24","400"
382,"24","400"
534,"24","400"
541,"24","400"
127,"24","400"
511,"24","400"
527,"24","400"
100,"24","400"
571,"24","400"
540,"24","400"
123,"24","400"
34,"24","400"
553,"24","400"
490,"24","400"
175,"24","400"
375,"24","400"
564,"24","400"
243,"24","400"
73,"24","400"
19,"24","400"
227,"24","400"
153,"24","400"
427,"24","400"
475,"24","400"
585,"24","400"
8,"24","400"
258,"24","400"
99,"24","400"
43,"24","400"
288,"24","400"
364,"23","436"
233,"23","436"
313,"23","436"
177,"23","436"
392,"23","436"
37,"23","436"
466,"23","436"
431,"23","436"
547,"23","436"
583,"23","436"
409,"23","436"
249,"23","436"
415,"23","436"
530,"23","436"
185,"23","436"
341,"23","436"
350,"23","436"
519,"23","436"
335,"23","436"
453,"23","436"
365,"23","436"
328,"23","436"
291,"23","436"
521,"23","436"
432,"23","436"
493,"23","436"
62,"23","436"
246,"23","436"
76,"23","436"
106,"23","436"
192,"23","436"
85,"23","436"
352,"23","436"
134,"23","436"
217,"23","436"
437,"23","436"
311,"23","436"
180,"23","436"
379,"23","436"
216,"23","436"
345,"23","436"
93,"23","436"
9,"23","436"
183,"23","436"
184,"23","436"
252,"22","481"
325,"22","481"
443,"22","481"
67,"22","481"
539,"22","481"
68,"22","481"
523,"22","481"
514,"22","481"
169,"22","481"
367,"22","481"
598,"22","481"
476,"22","481"
4,"22","481"
65,"22","481"
480,"22","481"
79,"22","481"
440,"22","481"
578,"22","481"
189,"22","481"
394,"22","481"
247,"22","481"
543,"22","481"
477,"22","481"
430,"22","481"
488,"22","481"
22,"22","481"
55,"22","481"
224,"22","481"
544,"22","481"
81,"22","481"
143,"22","481"
554,"22","481"
18,"22","481"
321,"22","481"
47,"22","481"
545,"21","516"
556,"21","516"
501,"21","516"
429,"21","516"
568,"21","516"
88,"21","516"
159,"21","516"
399,"21","516"
238,"21","516"
33,"21","516"
412,"21","516"
401,"21","516"
17,"21","516"
413,"21","516"
358,"21","516"
489,"21","516"
505,"21","516"
552,"21","516"
174,"21","516"
222,"21","516"
118,"21","516"
301,"21","516"
94,"21","516"
420,"21","516"
496,"21","516"
152,"21","516"
226,"21","516"
165,"21","516"
310,"20","544"
449,"20","544"
272,"20","544"
320,"20","544"
191,"20","544"
162,"20","544"
203,"20","544"
509,"20","544"
402,"20","544"
250,"20","544"
428,"20","544"
355,"20","544"
549,"20","544"
567,"20","544"
212,"20","544"
525,"19","559"
117,"19","559"
195,"19","559"
599,"19","559"
548,"19","559"
370,"19","559"
378,"19","559"
395,"19","559"
458,"19","559"
524,"19","559"
478,"19","559"
586,"19","559"
70,"18","571"
205,"18","571"
140,"18","571"
95,"18","571"
483,"18","571"
353,"18","571"
542,"18","571"
194,"18","571"
255,"18","571"
218,"18","571"
271,"18","571"
97,"18","571"
344,"18","571"
124,"18","571"
48,"17","585"
555,"17","585"
223,"17","585"
315,"17","585"
465,"17","585"
398,"16","590"
492,"16","590"
164,"16","590"
464,"16","590"
136,"15","594"
248,"15","594"
61,"14","596"
281,"14","596"
110,"14","596"
318,"12","599"
